Bird Name,Recording #,Title,Source,URL,Audio URL,Location,Recordist,Quality
European Robin,2,"European Robin - begging call, call",Xeno-canto,https://www.xeno-canto.org/1015273,https://xeno-canto.org/1015273/download,"Salisbury, Wiltshire, England",Thomas Coldwell,A
European Robin,3,European Robin - song,Xeno-canto,https://www.xeno-canto.org/1012070,https://xeno-canto.org/1012070/download,"Val d'Aran (near  Bossòst), Lleida, Catalonia",Olivier SWIFT,A
Blackcap,1,Eurasian Blackcap - song,Xeno-canto,https://www.xeno-canto.org/1014916,https://xeno-canto.org/1014916/download,"Stora Tuvan, Umeå, Västerbottens län",Lars Edenius,A
Blackcap,2,Eurasian Blackcap - song,Xeno-canto,https://www.xeno-canto.org/1014909,https://xeno-canto.org/1014909/download,"Stora Tuvan, Umeå, Västerbottens län",Lars Edenius,A
Blackcap,3,Eurasian Blackcap - song,Xeno-canto,https://www.xeno-canto.org/1013614,https://xeno-canto.org/1013614/download,"Gmina Ostrów Lubelski (near  Bójki), Powiat lubartowski, Województwo lubelskie",Romuald Mikusek,A
Sardinian Warbler,1,Sardinian Warbler - call,Xeno-canto,https://www.xeno-canto.org/1009243,https://xeno-canto.org/1009243/download,Enfores de la Vignolle,Frantz Barrault,A
Sardinian Warbler,2,Sardinian Warbler - song,Xeno-canto,https://www.xeno-canto.org/1007832,https://xeno-canto.org/1007832/download,"Umbriatico, Province of Crotone, Calabria",Francesco Sottile,A
Sardinian Warbler,3,Sardinian Warbler - song,Xeno-canto,https://www.xeno-canto.org/1004644,https://xeno-canto.org/1004644/download,"Lakonia, Peloponnese Region, Decentralized Administration of Peloponnese, Western Greece and the Ionian",Radek Grochowski,A
Subalpine Warbler,1,Western Subalpine Warbler - call,Xeno-canto,https://www.xeno-canto.org/1006610,https://xeno-canto.org/1006610/download,"El Torcal de Antequera, Malaga",Magnus Hellström,A
Subalpine Warbler,2,"Western Subalpine Warbler - song, subsong",Xeno-canto,https://www.xeno-canto.org/1002784,https://xeno-canto.org/1002784/download,"Burgohondo - el Tiemblo - Cebreros (Valle del Alberche y Tierra de Pinares) (near  El Hoyo de Pinares), Ávila, Castile and León",João Tomás,A
Subalpine Warbler,3,"Western Subalpine Warbler - song, subsong",Xeno-canto,https://www.xeno-canto.org/1002778,https://xeno-canto.org/1002778/download,"Burgohondo - el Tiemblo - Cebreros (Valle del Alberche y Tierra de Pinares) (near  El Hoyo de Pinares), Ávila, Castile and León",João Tomás,A
Cirl Bunting,1,Cirl Bunting - song,Xeno-canto,https://www.xeno-canto.org/1008321,https://xeno-canto.org/1008321/download,"Saint-Denis (near  Grand-bruson), Valle d'Aosta, Valle d'Aosta",Luca Forneris,A
